"site number","site location","Cluster","site acronym","date","sample type","TOC (mg/L)","DOC (mg/L)","UVA (cm-1)","suva (L/mg-m)","peak int","peak int WL","int at 450","int at 460","int at 500","FI (450/500)","docm comments"
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2001-07-10",NA,3.066,3.102,0.0435,1.4,45.65,437.98,44.89,43.33,22.88,1.96,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2001-07-10",NA,3.901,3.827,0.0482,1.3,47.6,444.61,46.36,43.46,25.06,1.85,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2001-07-10",NA,3.312,3.183,0.0463,1.5,56.2,444.1,56.01,53.09,30.66,1.83,NA
"R3","Waddell Canal","cap","waddell canal","2001-07-10",NA,3.147,2.995,0.0452,1.5,53.77,443.26,53.26,49.74,28.89,1.84,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2001-07-10",NA,1.767,1.545,0.0435,2.8,65.09,446.53,64.35,60.94,36.16,1.78,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2001-07-10",NA,3.819,3.717,0.0791,2.1,85.66,448.49,85.42,79.38,47.41,1.8,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2001-07-10",NA,3.244,2.943,0.0803,2.7,99.53,445.72,98.75,93.16,56.74,1.74,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2001-07-10",NA,2.622,2.601,0.0676,2.6,87.38,445.35,86.93,80.14,48.81,1.78,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2001-07-11",NA,3.131,3.178,0.0609,1.9,70.54,443.03,69.58,64.36,37.52,1.85,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2001-07-11",NA,3.109,3.175,0.0492,1.5,50.65,442.94,50.91,46.88,27.39,1.86,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2001-07-11",NA,3.117,3.005,0.0573,1.9,69.27,439.34,68.92,63.76,37.01,1.86,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2001-07-11",NA,3.041,2.999,0.0535,1.8,65.09,444.35,63.64,59.02,34.27,1.86,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2001-07-11",NA,2.107,1.719,0.0402,2.3,44.04,445.59,43.26,40.99,24.51,1.76,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2001-07-11",NA,3.311,3.361,0.0609,1.8,68.27,443.43,66.91,62.76,36.73,1.82,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2001-07-11",NA,3.459,3.413,0.0669,2,70.34,444.07,69.25,64.6,37.77,1.83,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2001-07-11",NA,4.872,3.245,0.0659,2,71.26,443.96,69.76,65.14,38.51,1.81,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2001-07-11",NA,3.435,3.113,0.0619,2,71.69,445.84,70.45,65.13,38.48,1.83,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2001-07-12",NA,2.989,3.19,0.0549,1.7,60.48,446.9,60.05,55.94,32.18,1.87,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2001-07-12",NA,2.541,2.455,0.0302,1.2,50,440.55,48.02,43.57,23.64,2.03,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2001-07-12",NA,3.136,3.087,0.0558,1.8,65.36,446.04,64.82,59.93,34.96,1.85,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2001-07-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2001-07-12",NA,2.904,2.922,0.0521,1.8,63.38,446.67,62.7,57.78,34.13,1.84,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2001-07-12",NA,3.239,2.611,0.0413,1.6,56.56,445.66,55.27,51.43,29.45,1.88,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2001-07-12",NA,3.088,3.058,0.0452,1.5,50.94,446.36,49.75,47.27,26.95,1.85,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2001-07-12",NA,3.054,3.041,0.0452,1.5,51.04,446.69,50.97,46.69,27,1.89,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2001-07-25",NA,21,19.61,NA,0,238.71,449.83,238.7,226.26,142.6,1.67,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2001-08-14",NA,2.518,3.457,0.0431,1.2,39.68,442.12,38.44,35.82,19.64,1.96,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2001-08-14",NA,3.536,3.436,0.0457,1.3,36.09,443.06,34.68,32.47,18.24,1.9,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2001-08-14",NA,2.633,2.587,0.0465,1.8,54.88,448.12,54.23,51.28,29.85,1.82,NA
"R3","Waddell Canal","cap","waddell canal","2001-08-14",NA,2.639,2.41,0.046,1.9,53.8,444.68,53.04,50.2,28.98,1.83,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2001-08-14",NA,2.165,1.967,0.0765,3.9,108.08,448.46,107.7,100.77,60.32,1.79,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2001-08-14",NA,3.707,3.373,0.0698,2.1,65.38,445.3,64.57,60.22,35.33,1.83,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2001-08-14",NA,3.537,3.127,0.0833,2.7,99.14,450.47,99.08,92.71,55.61,1.78,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2001-08-14",NA,2.306,2.262,0.071,3.1,86.82,446,85.1,80.93,47.52,1.79,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2001-08-15",NA,2.809,2.756,0.0687,2.5,70.89,447.72,70.29,65.61,39.05,1.8,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2001-08-15",NA,2.744,2.672,0.0464,1.7,50.9,445.96,49.59,47.29,27.15,1.83,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2001-08-15",NA,2.73,2.651,0.0579,2.2,69.66,442.81,68.64,64.15,37.7,1.82,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2001-08-15",NA,2.634,2.761,0.0544,2,65.17,444.97,64.66,59.99,35.05,1.84,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2001-08-15",NA,1.797,2.135,0.0386,1.8,47.56,447.87,47.05,43.52,26.05,1.81,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2001-08-15",NA,3.068,3.001,0.0603,2,72.08,445.79,71.05,66.86,39.72,1.79,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2001-08-15",NA,3.501,3.209,0.0624,1.9,73.17,447.09,71.61,67.07,39.53,1.81,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2001-08-15",NA,3.142,2.881,0.0619,2.1,71.55,446.78,70.29,66.83,38.73,1.81,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2001-08-15",NA,3.489,3.268,0.0636,1.9,73.72,445.97,49.59,67.81,40.05,1.24,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2001-08-16",NA,2.694,2.625,0.0562,2.1,59.64,446.31,59.24,55.62,32.11,1.84,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2001-08-16",NA,2.151,2.133,0.028,1.3,35.29,441.46,34.03,31.22,17.06,1.99,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2001-08-16",NA,2.785,2.649,0.0568,2.1,60.37,447.81,59.49,55.05,32.13,1.85,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2001-08-16",NA,1.949,2.012,0.0348,1.7,29.71,441.01,28.93,27.05,15.41,1.88,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2001-08-16",NA,2.591,2.387,0.051,2.1,59.81,445.75,59,54.89,32.11,1.84,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2001-08-16",NA,2.35,2.332,0.0465,2,57.19,442.45,56.31,52.34,30.16,1.87,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2001-08-16",NA,2.635,2.606,0.0459,1.8,48.82,444,48.13,44.67,26.43,1.82,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2001-08-16",NA,2.596,2.491,0.0457,1.8,46.63,441.16,46.35,43.55,25.24,1.84,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2001-09-11",NA,3.746,3.621,0.0416,1.1,36.32,443.42,35.45,32.25,17.81,1.99,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2001-09-11",NA,4.792,4.524,0.046,1,32.64,446.16,31.49,28.82,16.65,1.89,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2001-09-11",NA,3.594,3.643,0.0502,1.4,53.25,440.13,53.07,50.17,29.54,1.8,NA
"R3","Waddell Canal","cap","waddell canal","2001-09-11",NA,3.344,3.529,0.0479,1.4,49.34,445.44,48.36,45.76,26.86,1.8,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2001-09-11",NA,1.529,1.523,0.0387,2.5,44.92,444.89,44.38,40.97,24.57,1.81,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2001-09-11",NA,3.788,4.056,0.0691,1.7,64.49,447.87,63.8,59.53,35.35,1.8,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2001-09-11",NA,3.49,3.433,0.085,2.5,92.88,445.26,92.33,86.5,52.2,1.77,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2001-09-11",NA,3.28,3.161,0.0753,2.4,84.3,445.26,83.49,78.89,46.38,1.8,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2001-09-12",NA,3.835,3.501,0.0614,1.8,63.05,444.69,62.33,58.79,34.07,1.83,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2001-09-12",NA,2.925,3.341,0.0344,1,49.8,442.38,49.03,44.45,24.36,2.01,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2001-09-12",NA,5.262,5.133,0.0645,1.3,58.71,444.79,57.99,54.47,31.61,1.83,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2001-09-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2001-09-12",NA,3.388,3.237,0.0529,1.6,59.47,443.2,59.1,55.52,32.13,1.84,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2001-09-12",NA,2.959,2.836,0.0416,1.5,42.66,445.01,41.93,38.9,22.47,1.87,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2001-09-12",NA,2.324,1.944,0.0403,2.1,43.46,445.6,43.38,40.46,24.21,1.79,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2001-09-12",NA,3.269,3.348,0.0465,1.4,47.19,447.65,46.49,43.36,25.4,1.83,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2001-09-12",NA,3.323,3.632,0.0479,1.3,47.17,446.98,46.1,43.52,24.72,1.86,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2001-09-13",NA,3.723,3.408,0.0602,1.8,65.78,447,64.08,60.32,35.36,1.81,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2001-09-13",NA,3.299,3.308,0.0463,1.4,45.56,446.07,44.79,41.78,24.45,1.83,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2001-09-13",NA,3.418,3.792,0.0582,1.5,65.96,442.82,65.04,60.69,36.07,1.8,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2001-09-13",NA,3.606,3.656,0.0586,1.6,65.3,444.96,63.63,59.96,35.86,1.77,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2001-09-13",NA,3.658,3.519,0.0602,1.7,65.68,446.2,65.11,60.66,36.29,1.79,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2001-09-13",NA,3.734,4.079,0.0599,1.5,58.72,442.65,58.19,54.65,31.35,1.86,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2001-09-13",NA,3.921,3.804,0.0597,1.6,56.13,444.73,55.36,51.35,29.77,1.86,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2001-09-13",NA,3.667,3.545,0.0602,1.7,66.81,443.75,66.05,61.92,36.55,1.81,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2001-10-16",NA,3.175,3.284,0.042,1.3,36.33,443,34.87,32.74,17.89,1.95,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2001-10-16",NA,4.193,4.073,0.047,1.2,34.83,440,33.93,31.89,18.06,1.88,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2001-10-16",NA,3.968,3.935,0.048,1.2,41.66,446,41.13,38.89,22.03,1.87,NA
"R3","Waddell Canal","cap","waddell canal","2001-10-16",NA,3.343,3.36,0.051,1.5,50.86,447,49.76,47.27,27.78,1.79,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2001-10-16",NA,1.945,1.645,0.053,3.2,77.28,444,75.39,71.22,42.09,1.79,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2001-10-16",NA,3.703,3.576,0.063,1.8,52.6,445.5,51.83,48.58,27.59,1.88,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2001-10-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2001-10-16",NA,3.455,3.854,0.09,2.3,95.13,448,94.67,89.31,52.94,1.79,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2001-10-17",NA,3.112,3.119,0.071,2.3,70.11,443.5,70.11,64.39,38.86,1.8,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2001-10-17",NA,2.428,2.311,0.037,1.6,39.1,446,38.44,35.58,20.3,1.89,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2001-10-17",NA,3.246,3.057,0.064,2.1,61.48,445.5,61.05,57.08,34.26,1.78,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2001-10-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2001-10-17",NA,3.298,3.344,0.068,2,69,442.5,68.48,63.59,38.02,1.8,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2001-10-17",NA,2.691,2.953,0.046,1.6,45.8,443,45.29,42.44,25.18,1.8,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2001-10-17",NA,4.086,3.239,0.084,2.6,84.31,448.5,83.91,78.06,47.43,1.77,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2001-10-17",NA,3.368,3.314,0.047,1.4,45.08,450,45.08,41.15,24.1,1.87,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2001-10-17",NA,3.529,3.697,0.048,1.3,45.43,441,44.79,41.75,24.1,1.86,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2001-10-18",NA,3.474,3.488,0.06,1.7,67.5,445.5,66.57,61.99,36.67,1.82,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2001-10-18",NA,3.427,3.344,0.047,1.4,42.2,441.5,41.6,38.59,22.29,1.87,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2001-10-18",NA,3.112,3.325,0.082,2.5,89.07,447,88.41,82.59,48.6,1.82,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2001-10-18",NA,3.479,3.646,0.077,2.1,80.94,448,79.73,74.82,44.16,1.81,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2001-10-18",NA,4.528,4.081,0.068,1.7,67.23,442.5,66.4,62.69,37.83,1.76,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2001-10-18",NA,3.77,3.788,0.063,1.7,66.95,445.5,65.79,61.29,35.99,1.83,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2001-10-18",NA,3.66,3.711,0.063,1.7,66.42,446,65.05,61.52,35.72,1.82,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2001-10-18",NA,3.88,3.859,0.063,1.6,68.03,445.5,67.3,63.66,37,1.82,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2001-11-13",NA,3.313,3.421,0.0424,1.2,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2001-11-13",NA,3.9,4.268,0.0459,1.1,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2001-11-13",NA,3.843,3.943,0.0455,1.2,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2001-11-13",NA,3.211,3.196,0.0427,1.3,31.23,445,30.77,27.94,15.94,1.93,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2001-11-13",NA,1.117,1.093,0.0259,2.4,33.92,441.32,32.8,30.78,18.39,1.78,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2001-11-13",NA,2.987,3.101,0.0593,1.9,48.06,443.79,46.85,43.52,25.01,1.87,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2001-11-13",NA,2.962,2.91,0.0581,2,57.73,446.2,56.64,50.16,24.92,2.27,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2001-11-13",NA,3.275,2.907,0.0585,2,49.21,440.32,47.81,44.27,25.98,1.84,NA
"field_blank","field blank",NA,"field","2001-11-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,"lab","2001-11-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2001-11-14",NA,2.881,2.866,0.0569,2,45.14,446.81,44.2,41.32,24.21,1.83,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2001-11-14",NA,2.056,2.069,0.0266,1.3,19.88,440.76,19.69,17.94,10.07,1.96,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2001-11-14",NA,2.672,2.64,0.0525,2,45.03,443.33,43.95,40.99,23.52,1.87,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2001-11-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2001-11-14",NA,2.784,2.624,0.0529,2,45.42,445.78,43.89,41.04,24.46,1.79,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2001-11-14",NA,2.281,2.22,0.0358,1.6,28.5,443.57,27.74,26.18,15.13,1.83,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2001-11-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2001-11-14",NA,2.773,2.847,0.0558,2,44.81,440.78,43.2,40.93,23.6,1.83,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2001-11-14",NA,3.402,3.361,0.0443,1.3,32.91,444.48,31.37,29.12,17.13,1.83,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2001-11-14",NA,3.491,3.567,0.0446,1.3,32.42,441.04,32.19,29.6,16.51,1.95,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2001-11-15",NA,0.498,2.622,0.0438,1.7,48.34,447.29,47.6,44.73,26.19,1.82,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2001-11-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2001-11-15",NA,2.608,2.817,0.0547,1.9,49.25,443.75,48.08,45.05,26.26,1.83,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2001-11-15",NA,2.624,2.712,0.0551,2,49.39,441.78,48.03,45.85,26.76,1.79,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2001-11-15",NA,3.673,4.346,0.0629,1.4,61.92,440.07,60.78,57.07,33.37,1.82,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2001-11-15",NA,3.642,3.895,0.061,1.6,61.04,447.48,60.04,56.29,32.54,1.85,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2001-11-15",NA,3.644,3.607,0.0623,1.7,58.8,441.55,57.8,53.88,31.5,1.83,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2001-11-15",NA,3.869,3.688,0.0625,1.7,63.31,443.97,62.48,58.06,33.58,1.86,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2001-12-11",NA,2.951,2.774,0.041,1.5,34.68,444.33,33.93,30.87,17.65,1.92,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2001-12-11",NA,3.551,3.148,0.0444,1.4,38.6,443.46,38.31,34.8,19.98,1.92,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2001-12-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2001-12-11",NA,3.207,2.851,0.0424,1.5,36.21,443.96,35.05,32.58,18.46,1.9,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2001-12-12",NA,2.36,5.079,0.0398,0.8,49.44,444.85,49.12,45.26,26.62,1.85,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2001-12-12",NA,5.289,4.99,0.0574,1.2,54.75,441.59,54.12,49.71,28.73,1.88,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2001-12-12",NA,2.256,2.171,0.0406,1.9,46.11,440.49,45.13,42.28,25.22,1.79,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2001-12-12",NA,2.287,2.288,0.0409,1.8,47.41,442.84,46.99,43.79,25.94,1.81,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2001-12-12",NA,4.494,3.449,0.0624,1.8,70.59,441.01,69.18,64.69,37.51,1.84,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2001-12-12",NA,NA,NA,NA,NA,71.1,444.75,69.14,64.78,37.76,1.83,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2001-12-12",NA,4.226,3.765,0.0619,1.6,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2001-12-12",NA,4.092,3.456,0.0607,1.8,68.21,443.38,66.28,61.6,36.5,1.82,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2001-12-13",NA,2.156,2.258,0.0408,1.8,44.91,446.42,44.48,41.47,24.2,1.84,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2001-12-13",NA,1.515,1.778,0.0205,1.2,24.34,445.2,23.94,21.71,12.1,1.98,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2001-12-13",NA,2.268,2.031,0.0381,1.9,40.2,439.15,39.27,37.2,21.41,1.83,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2001-12-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2001-12-13",NA,2.251,1.925,0.0399,2.1,45.54,448.43,45.28,41.74,24.72,1.83,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2001-12-13",NA,12.31,1.564,0.0204,1.3,19.48,441.9,18.85,17.83,10.26,1.84,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2001-12-13",NA,1.355,2.383,0.0427,1.8,47.22,442.98,46.3,43.52,25.41,1.822117277,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2001-12-13",NA,3.127,2.84,0.0408,1.4,35.51,445.75,34.04,32.39,17.96,1.9,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2001-12-13",NA,2.991,2.939,0.0403,1.4,35.34,442.61,34.82,31.31,17.82,1.95,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2001-12-13",NA,1.105,1.261,0.0262,2.1,33.94,444.84,33.1,31.26,18.28,1.81,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2001-12-13",NA,20.59,2.639,0.0532,2,50.54,444.56,49.57,45.72,26.28,1.89,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2001-12-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2001-12-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2002-01-15",NA,2.845,2.792,0.042,1.5,36.41,443.51,34.77,31.98,18.23,1.91,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2002-01-15",NA,3.815,3.219,0.0435,1.4,35.76,444.48,34.62,32.43,18.06,1.92,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2002-01-15",NA,10.29,3.559,0.0438,1.2,37.28,441.51,36.31,33.79,19.12,1.9,NA
"R3","Waddell Canal","cap","waddell canal","2002-01-15",NA,2.957,2.816,0.0437,1.6,36.01,439.46,35.63,32.32,18.11,1.97,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2002-01-15",NA,1.276,0.962,0.0269,2.8,26.99,442.97,26.29,24.79,14.88,1.77,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2002-01-15",NA,24.78,2.584,0.0513,2,47.69,444.51,46.54,43.14,25.14,1.85,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2002-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2002-01-15",NA,2.332,1.848,0.0424,2.3,41.23,446.29,40.59,37.75,21.7,1.87,NA
